OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
15-Mar-15,12-Jun-01,SO45676,349,11765,9,1,2
01-Oct-15,10-Jul-01,SO45128,310,18726,9,1,1
22-Jan-15,10-Jul-01,SO45208,344,19884,6,1,2
02-Mar-15,11-Jul-01,SO45360,313,28036,6,1,1
02-Nov-15,11-Jul-01,SO45414,330,18038,7,1,2
13-Feb-15,11-Jul-01,SO45430,312,28176,6,1,2
02-Jan-15,12-Jul-01,SO45349,312,19568,9,1,1
01-Apr-15,12-Jul-01,SO45095,344,11394,10,1,2
01-Nov-15,12-Jul-01,SO45132,350,25985,4,1,2
24-Feb-15,12-Jul-01,SO45488,311,19577,9,1,2
26-Feb-15,12-Jul-01,SO45498,312,28574,6,1,2
15-Mar-15,12-Jul-01,SO45673,312,19790,9,1,1
28-Mar-15,12-Jul-01,SO45763,314,19959,9,1,1
25-Jan-15,10-Aug-01,SO45226,342,14662,4,1,2
31-Jan-15,10-Aug-01,SO45265,350,11461,9,1,1
02-Nov-15,11-Aug-01,SO45411,313,28197,6,1,1
30-Jan-15,11-Aug-01,SO45251,334,19422,8,1,1
02-Dec-15,12-Aug-01,SO45423,348,19997,6,1,2
14-Jan-15,12-Aug-01,SO45149,314,14941,10,1,2
14-Jan-15,12-Aug-01,SO45153,310,19089,9,1,2
16-Jan-15,12-Aug-01,SO45169,314,18766,9,1,1
19-Jan-15,12-Aug-01,SO45190,313,18931,9,1,1
18-Mar-15,12-Aug-01,SO45698,326,14747,4,1,2
01-Feb-15,10-Sep-01,SO45085,312,18746,9,1,1
01-Jul-15,11-Sep-01,SO45111,326,25713,9,1,2
26-Jan-15,11-Sep-01,SO45229,349,11387,10,1,2
04-Mar-15,12-Sep-01,SO45824,312,11696,1,1,1
03-Jul-15,12-Sep-01,SO45625,314,11307,4,1,2
29-Mar-15,12-Sep-01,SO45768,310,11324,4,1,2
02-Apr-15,10-Oct-01,SO45367,328,20561,10,1,1
02-Jul-15,10-Oct-01,SO45391,313,19588,9,1,1
01-Nov-15,10-Oct-01,SO45137,310,18735,9,1,1
03-Mar-15,11-Oct-01,SO45599,312,19794,9,1,2
14-Feb-15,11-Oct-01,SO45439,326,25823,9,1,2
20-Feb-15,11-Oct-01,SO45461,311,28646,6,1,1
26-Feb-15,11-Oct-01,SO45502,314,28173,6,1,2
03-Feb-15,12-Oct-01,SO45588,313,11275,4,1,1
02-Jun-15,12-Oct-01,SO45377,313,15077,10,1,2
02-Oct-15,12-Oct-01,SO45402,344,11413,10,1,1
13-Jan-15,12-Oct-01,SO45148,342,14656,1,1,1
22-Jan-15,12-Oct-01,SO45213,349,11464,9,1,1
31-Jan-15,12-Oct-01,SO45261,312,29175,1,1,2
21-Feb-15,12-Oct-01,SO45466,311,19611,9,1,2
20-Mar-15,12-Oct-01,SO45707,345,11904,9,1,1
01-Mar-15,09-Nov-01,SO45087,350,11388,10,1,2
01-Mar-15,09-Nov-01,SO45094,310,22785,6,1,2
15-Jan-15,10-Nov-01,SO45160,310,14984,10,1,2
22-Jan-15,10-Nov-01,SO45210,311,29239,4,1,2
02-Apr-15,11-Nov-01,SO45366,330,18011,7,1,2
01-Aug-15,11-Nov-01,SO45113,313,29141,4,1,1
23-Jan-15,11-Nov-01,SO45215,312,29208,1,1,1
01-Mar-15,12-Nov-01,SO45088,345,11398,10,1,1
04-Jul-15,12-Nov-01,SO45853,313,15453,10,1,1
18-Jan-15,12-Nov-01,SO45185,310,14949,10,1,2
25-Jan-15,12-Nov-01,SO45227,322,14726,1,1,2
28-Jan-15,12-Nov-01,SO45240,310,29155,1,1,1
15-Feb-15,12-Nov-01,SO45443,313,29350,4,1,1
20-Feb-15,12-Nov-01,SO45465,342,25819,9,1,2
18-Mar-15,12-Nov-01,SO45694,312,15097,10,1,1
24-Mar-15,12-Nov-01,SO45738,346,11900,9,1,2
01-Feb-15,10-Dec-01,SO45084,310,29143,4,1,2
02-Jun-15,10-Dec-01,SO45383,332,14734,1,1,2
02-Sep-15,10-Dec-01,SO45397,313,15051,10,1,2
21-Jan-15,10-Dec-01,SO45202,314,19094,9,1,2
03-Apr-15,11-Dec-01,SO45602,312,12607,7,1,1
01-Jun-15,11-Dec-01,SO45106,348,19987,6,1,1
03-Jul-15,11-Dec-01,SO45630,351,11899,9,1,2
04-Mar-15,12-Dec-01,SO45827,312,15440,10,1,2
02-Jun-15,12-Dec-01,SO45386,312,19607,9,1,2
01-Sep-15,12-Dec-01,SO45123,311,22971,6,1,1
01-Oct-15,12-Dec-01,SO45127,313,29158,1,1,1
02-Nov-15,12-Dec-01,SO45417,310,28620,6,1,2
02-Nov-15,12-Dec-01,SO45420,313,19561,9,1,2
26-Mar-15,12-Dec-01,SO45750,345,26001,1,1,1
28-Mar-15,12-Dec-01,SO45760,311,11329,4,1,1
05-Jan-15,01-Jan-02,SO46110,311,12169,4,1,1
02-Feb-15,01-Jan-02,SO45356,313,19096,9,1,2
04-Mar-15,01-Jan-02,SO45826,310,23858,6,1,1
03-Jul-15,01-Jan-02,SO45629,347,11892,9,1,1
02-Sep-15,01-Jan-02,SO45398,312,15059,10,1,2
04-Sep-15,01-Jan-02,SO45863,314,11873,4,1,1
18-Jan-15,01-Jan-02,SO45183,334,25711,9,1,2
24-Feb-15,01-Jan-02,SO45489,310,19602,9,1,1
30-Apr-15,01-Jan-02,SO46013,311,11705,4,1,1
05-Jan-15,02-Jan-02,SO46117,310,20446,9,1,1
03-Mar-15,02-Jan-02,SO45601,348,11893,9,1,1
05-Apr-15,02-Jan-02,SO46132,314,23865,6,1,1
03-Jun-15,02-Jan-02,SO45621,346,11768,9,1,1
22-Feb-15,02-Jan-02,SO45469,350,19989,6,1,2
13-Mar-15,02-Jan-02,SO45661,342,25827,9,1,2
26-Mar-15,02-Jan-02,SO45745,312,15089,10,1,1
04-Nov-15,03-Jan-02,SO45874,351,20007,6,1,1
19-Mar-15,03-Jan-02,SO45701,311,11538,4,1,2
24-Mar-15,03-Jan-02,SO45739,348,11903,9,1,1
24-Mar-15,03-Jan-02,SO45736,310,19960,9,1,2
27-Apr-15,03-Jan-02,SO45984,313,11690,1,1,1
30-Apr-15,03-Jan-02,SO46011,351,11489,10,1,1
30-Apr-15,03-Jan-02,SO46018,312,11663,1,1,2
05-Jan-15,04-Jan-02,SO46119,326,25927,9,1,1
05-May-15,04-Jan-02,SO46143,347,26090,4,1,1
06-Dec-15,04-Jan-02,SO46469,332,19033,7,1,2
25-Jul-15,04-Jan-02,SO46882,342,25960,9,1,2
08-Apr-15,05-Jan-02,SO47097,370,21257,9,1,1
08-Apr-15,05-Jan-02,SO47098,360,12667,9,1,1
06-Jul-15,05-Jan-02,SO46432,342,15016,4,1,1
06-Jul-15,05-Jan-02,SO46430,314,13564,7,1,2
08-Aug-15,05-Jan-02,SO47132,375,13283,1,1,1
06-Nov-15,05-Jan-02,SO46460,312,12438,4,1,2
18-Jul-15,05-Jan-02,SO46820,352,28510,7,1,1
15-Aug-15,05-Jan-02,SO47186,371,13806,7,1,2
19-Aug-15,05-Jan-02,SO47229,358,26295,1,1,1
09-Apr-15,06-Jan-02,SO47481,373,21899,9,1,1
07-Oct-15,06-Jan-02,SO46753,379,21215,9,1,2
09-Oct-15,06-Jan-02,SO47516,362,26309,4,1,2
14-Jul-15,06-Jan-02,SO46796,360,26247,4,1,1
23-Jul-15,06-Jan-02,SO46867,377,13029,1,1,2
30-Jul-15,06-Jan-02,SO46910,330,20710,10,1,1
10-Dec-15,07-Jan-02,SO47809,338,26187,9,1,2
17-Jul-15,07-Jan-02,SO46809,371,13766,7,1,2
15-Aug-15,07-Jan-02,SO47190,369,25892,6,1,2
11-Jul-15,08-Jan-02,SO48129,377,22582,9,1,1
11-Dec-15,08-Jan-02,SO48159,389,19322,10,1,2
27-Nov-15,08-Jan-02,SO48258,324,19287,7,1,1
20-Aug-15,08-Jan-02,SO47236,385,14023,4,1,1
11-Mar-15,09-Jan-02,SO48108,389,24905,9,1,2
12-Dec-15,09-Jan-02,SO48528,379,22908,9,1,2
12-Dec-15,09-Jan-02,SO48533,328,26560,9,1,1
20-Oct-15,09-Jan-02,SO47875,375,25992,6,1,2
22-Oct-15,09-Jan-02,SO47895,332,15347,4,1,2
28-Oct-15,09-Jan-02,SO47933,373,16270,8,1,2
27-Nov-15,09-Jan-02,SO48254,383,14117,1,1,2
25-Sep-15,09-Jan-02,SO47626,320,26150,9,1,1
25-Oct-15,10-Jan-02,SO47916,383,24903,9,1,1
26-Oct-15,10-Jan-02,SO47920,358,12282,10,1,1
18-Dec-15,10-Jan-02,SO48598,352,13106,9,1,1
20-Dec-15,10-Jan-02,SO48613,375,14965,7,1,1
25-Nov-15,11-Jan-02,SO48244,371,22860,9,1,2
17-Dec-15,11-Jan-02,SO48584,379,22935,9,1,2
18-Dec-15,11-Jan-02,SO48595,375,23097,9,1,2
02-Feb-15,01-Feb-02,SO45352,313,15081,10,1,2
02-Jul-15,01-Feb-02,SO45390,310,19560,9,1,2
13-Apr-15,01-Feb-02,SO45891,346,11380,8,1,2
15-Apr-15,01-Feb-02,SO45902,314,15614,10,1,2
04-Nov-15,02-Feb-02,SO45876,314,19975,9,1,1
27-Mar-15,02-Feb-02,SO45754,311,11529,1,1,1
28-Mar-15,02-Feb-02,SO45759,313,11295,4,1,2
04-Jun-15,03-Feb-02,SO45845,311,23566,6,1,2
04-Jul-15,03-Feb-02,SO45855,338,14754,1,1,1
05-Aug-15,03-Feb-02,SO46162,313,12163,4,1,2
18-Mar-15,03-Feb-02,SO45692,313,14425,8,1,1
22-Mar-15,03-Feb-02,SO45721,345,11766,9,1,2
13-Apr-15,03-Feb-02,SO45890,349,11338,8,1,2
19-Apr-15,03-Feb-02,SO45933,313,11779,1,1,2
25-Apr-15,03-Feb-02,SO45977,313,20216,9,1,1
14-May-15,03-Feb-02,SO46210,313,12866,7,1,2
18-May-15,03-Feb-02,SO46239,312,14927,8,1,1
18-May-15,03-Feb-02,SO46243,311,20613,9,1,1
23-Jun-15,03-Feb-02,SO46555,351,12010,9,1,1
23-Jun-15,03-Feb-02,SO46554,313,20990,9,1,1
06-Jan-15,04-Feb-02,SO46390,313,12440,4,1,1
06-Feb-15,04-Feb-02,SO46401,310,20993,9,1,2
06-Jul-15,04-Feb-02,SO46434,313,20996,9,1,2
05-Aug-15,04-Feb-02,SO46163,312,12042,1,1,1
15-May-15,04-Feb-02,SO46211,328,18163,7,1,2
13-Jun-15,04-Feb-02,SO46478,326,25939,9,1,2
28-Jun-15,04-Feb-02,SO46585,314,15050,8,1,1
20-Jul-15,04-Feb-02,SO46843,375,21168,9,1,1
30-Jul-15,04-Feb-02,SO46912,377,13177,1,1,2
07-Mar-15,05-Feb-02,SO46698,377,21206,9,1,2
08-May-15,05-Feb-02,SO47106,369,25361,6,1,2
06-Jun-15,05-Feb-02,SO46424,312,12435,4,1,1
07-Jun-15,05-Feb-02,SO46722,385,17095,7,1,1
22-May-15,05-Feb-02,SO46264,350,28491,7,1,1
28-May-15,05-Feb-02,SO46309,350,11994,9,1,2
17-Jun-15,05-Feb-02,SO46491,314,24759,6,1,1
21-Jul-15,05-Feb-02,SO46848,371,16201,10,1,2
22-Jul-15,05-Feb-02,SO46858,370,13067,1,1,2
07-Jun-15,06-Feb-02,SO46723,368,12918,4,1,1
23-Jun-15,06-Feb-02,SO46552,328,15017,4,1,2
17-Jul-15,06-Feb-02,SO46817,356,26121,4,1,2
18-Jul-15,06-Feb-02,SO46824,385,24608,9,1,1
13-Aug-15,06-Feb-02,SO47173,356,12675,9,1,1
18-Sep-15,06-Feb-02,SO47572,368,29149,6,1,2
24-Sep-15,06-Feb-02,SO47620,352,12239,10,1,2
09-Jun-15,07-Feb-02,SO47488,379,13426,4,1,2
21-Oct-15,07-Feb-02,SO47880,360,28689,7,1,1
22-Oct-15,07-Feb-02,SO47890,370,16263,8,1,2
25-Oct-15,07-Feb-02,SO47914,334,20556,8,1,1
27-Oct-15,07-Feb-02,SO47929,368,29281,6,1,2
17-Jul-15,07-Feb-02,SO46816,370,13230,1,1,2
20-Aug-15,07-Feb-02,SO47238,370,16405,10,1,1
24-Aug-15,07-Feb-02,SO47278,379,21404,9,1,1
13-Sep-15,07-Feb-02,SO47537,371,13436,1,1,2
18-Sep-15,07-Feb-02,SO47575,362,26315,4,1,2
10-Nov-15,08-Feb-02,SO47795,379,22004,9,1,1
10-Dec-15,08-Feb-02,SO47799,360,12264,10,1,2
21-Aug-15,08-Feb-02,SO47250,379,21217,9,1,2
10-Jan-15,09-Feb-02,SO47736,358,12705,9,1,1
11-Feb-15,09-Feb-02,SO48101,369,22575,9,1,2
12-Mar-15,09-Feb-02,SO48421,387,19361,10,1,1
11-Dec-15,09-Feb-02,SO48163,375,22854,9,1,2
24-Nov-15,09-Feb-02,SO48229,354,26510,4,1,1
13-Dec-15,09-Feb-02,SO48540,377,22931,9,1,1
25-Dec-15,09-Feb-02,SO48674,334,26548,9,1,2
21-Sep-15,09-Feb-02,SO47599,362,26327,4,1,1
11-Jan-15,10-Feb-02,SO48093,377,16588,10,1,2
12-Mar-15,10-Feb-02,SO48425,379,16475,8,1,2
11-May-15,10-Feb-02,SO48113,334,20716,8,1,2
12-Jul-15,10-Feb-02,SO48458,371,17097,10,1,2
12-Aug-15,10-Feb-02,SO48480,352,26642,1,1,2
17-Oct-15,10-Feb-02,SO47846,368,14779,7,1,1
28-Nov-15,10-Feb-02,SO48267,326,27102,6,1,2
17-Dec-15,10-Feb-02,SO48585,389,24919,9,1,2
28-Dec-15,10-Feb-02,SO48692,381,18171,8,1,1
12-Feb-15,11-Feb-02,SO48418,352,13114,9,1,2
12-Aug-15,11-Feb-02,SO48484,352,13525,9,1,2
12-Aug-15,11-Feb-02,SO48481,358,20669,6,1,2
12-Sep-15,11-Feb-02,SO48487,334,20808,8,1,2
12-Oct-15,11-Feb-02,SO48495,360,26602,4,1,2
12-Dec-15,11-Feb-02,SO48526,375,13724,4,1,2
23-Dec-15,11-Feb-02,SO48653,360,20680,6,1,1
19-Dec-15,12-Feb-02,SO48608,358,26644,1,1,1
31-Dec-15,12-Feb-02,SO48724,340,20722,8,1,1
03-Feb-15,01-Mar-02,SO45586,311,12613,7,1,2
04-Jul-15,01-Mar-02,SO45857,351,11919,9,1,2
04-Sep-15,01-Mar-02,SO45865,312,20157,9,1,2
04-Dec-15,01-Mar-02,SO45883,313,11799,1,1,1
24-Apr-15,01-Mar-02,SO45967,326,19454,8,1,1
28-Feb-15,02-Mar-02,SO45515,310,19557,9,1,1
18-Apr-15,02-Mar-02,SO45930,328,18148,7,1,1
25-May-15,02-Mar-02,SO46291,313,20258,9,1,2
05-Mar-15,03-Mar-02,SO46128,314,14945,8,1,1
06-Aug-15,03-Mar-02,SO46439,313,20817,9,1,1
04-Dec-15,03-Mar-02,SO45881,310,23397,6,1,2
06-Dec-15,03-Mar-02,SO46470,322,14915,1,1,2
20-Mar-15,03-Mar-02,SO45711,313,19621,9,1,2
16-May-15,03-Mar-02,SO46225,313,20261,9,1,1
25-May-15,03-Mar-02,SO46288,311,12059,1,1,1
30-May-15,03-Mar-02,SO46315,311,12142,1,1,1
05-Apr-15,04-Mar-02,SO46133,312,12105,4,1,1
06-Oct-15,04-Mar-02,SO46454,310,20812,9,1,2
13-May-15,04-Mar-02,SO46204,348,11988,9,1,1
18-May-15,04-Mar-02,SO46240,314,23868,6,1,2
21-May-15,04-Mar-02,SO46259,313,12025,1,1,1
17-Jun-15,04-Mar-02,SO46495,311,20989,9,1,2
31-Jul-15,04-Mar-02,SO46923,369,13176,4,1,1
07-Jan-15,05-Mar-02,SO46677,371,15460,8,1,1
15-Aug-15,05-Mar-02,SO47196,362,26286,4,1,2
10-Jan-15,06-Mar-02,SO47737,356,13018,9,1,2
10-Jan-15,06-Mar-02,SO47735,342,27084,6,1,1
07-May-15,06-Mar-02,SO46718,360,12570,9,1,2
26-Jun-15,06-Mar-02,SO46570,313,13536,7,1,2
13-Jul-15,06-Mar-02,SO46784,375,13178,1,1,2
25-Aug-15,06-Mar-02,SO47283,373,15655,8,1,2
08-Jul-15,07-Mar-02,SO47120,381,14006,4,1,2
26-Oct-15,07-Mar-02,SO47922,379,13468,1,1,2
28-Oct-15,07-Mar-02,SO47936,324,26192,9,1,2
29-Oct-15,07-Mar-02,SO47937,320,20549,8,1,1
21-Jul-15,07-Mar-02,SO46853,368,21192,9,1,2
22-Jul-15,07-Mar-02,SO46855,379,15117,8,1,1
24-Jul-15,07-Mar-02,SO46874,381,24606,9,1,1
25-Jul-15,07-Mar-02,SO46875,362,11470,8,1,1
16-Aug-15,07-Mar-02,SO47199,322,20051,8,1,1
29-Sep-15,07-Mar-02,SO47645,375,14555,7,1,1
10-Jun-15,08-Mar-02,SO47770,342,26375,9,1,1
11-Oct-15,08-Mar-02,SO48142,362,12213,8,1,1
21-Oct-15,08-Mar-02,SO47887,356,13012,9,1,2
30-Aug-15,08-Mar-02,SO47329,379,13367,1,1,2
23-Oct-15,09-Mar-02,SO47898,322,19276,7,1,2
20-Dec-15,09-Mar-02,SO48619,369,22934,9,1,2
24-Dec-15,09-Mar-02,SO48666,360,13090,9,1,2
30-Dec-15,09-Mar-02,SO48719,368,23099,9,1,1
11-Jan-15,10-Mar-02,SO48097,369,22412,9,1,1
11-Jun-15,10-Mar-02,SO48124,326,26436,9,1,2
11-Oct-15,10-Mar-02,SO48143,326,20720,8,1,1
20-Oct-15,10-Mar-02,SO47871,371,14708,7,1,1
21-Oct-15,10-Mar-02,SO47881,379,16553,10,1,2
28-Oct-15,10-Mar-02,SO47931,370,16531,10,1,1
18-Dec-15,10-Mar-02,SO48592,354,12266,8,1,1
12-May-15,11-Mar-02,SO48439,389,17651,7,1,2
18-Nov-15,11-Mar-02,SO48193,352,26499,4,1,1
26-Nov-15,11-Mar-02,SO48247,373,16390,8,1,1
27-Nov-15,11-Mar-02,SO48259,326,27085,6,1,1
29-Dec-15,11-Mar-02,SO48713,334,27253,6,1,2
19-Dec-15,12-Mar-02,SO48611,360,13518,9,1,1
22-Dec-15,12-Mar-02,SO48640,356,26681,4,1,1
29-Dec-15,12-Mar-02,SO48714,377,23104,9,1,2
05-Jan-15,01-Apr-02,SO46113,310,11955,4,1,2
30-Jan-15,01-Apr-02,SO45249,310,14928,10,1,1
20-Mar-15,01-Apr-02,SO45708,313,19765,9,1,1
24-Mar-15,01-Apr-02,SO45735,314,19792,9,1,2
22-Apr-15,01-Apr-02,SO45954,314,11810,1,1,1
29-Apr-15,01-Apr-02,SO45999,311,23583,6,1,2
04-Feb-15,02-Apr-02,SO45821,346,26041,1,1,1
06-Apr-15,02-Apr-02,SO46411,314,24661,6,1,2
03-Sep-15,02-Apr-02,SO45635,313,23351,6,1,2
05-Nov-15,02-Apr-02,SO46182,346,11995,9,1,1
23-Feb-15,02-Apr-02,SO45480,313,19564,9,1,1
26-Feb-15,02-Apr-02,SO45501,350,25993,1,1,1
29-Mar-15,02-Apr-02,SO45766,312,11297,4,1,2
17-Apr-15,02-Apr-02,SO45920,311,23730,6,1,2
30-Apr-15,02-Apr-02,SO46015,313,23511,6,1,2
25-May-15,02-Apr-02,SO46290,351,26066,4,1,1
28-May-15,02-Apr-02,SO46308,310,20609,9,1,1
04-Jan-15,03-Apr-02,SO45817,311,14801,8,1,1
05-Jan-15,03-Apr-02,SO46109,312,12167,1,1,1
06-May-15,03-Apr-02,SO46418,312,20988,9,1,2
04-Dec-15,03-Apr-02,SO45884,313,11678,1,1,2
13-May-15,03-Apr-02,SO46201,314,20610,9,1,2
14-May-15,03-Apr-02,SO46205,313,12162,4,1,1
19-May-15,03-Apr-02,SO46248,324,14896,4,1,2
24-May-15,03-Apr-02,SO46279,312,12155,1,1,2
24-Jun-15,03-Apr-02,SO46561,312,20625,9,1,1
07-Jul-15,04-Apr-02,SO46735,371,13226,1,1,2
06-Oct-15,04-Apr-02,SO46451,310,12709,4,1,2
23-Apr-15,04-Apr-02,SO45958,311,11818,4,1,1
16-May-15,04-Apr-02,SO46223,326,14892,4,1,2
26-May-15,04-Apr-02,SO46300,314,20452,9,1,2
22-Jun-15,04-Apr-02,SO46538,310,12774,4,1,1
27-Jun-15,04-Apr-02,SO46584,348,12252,9,1,1
08-Aug-15,05-Apr-02,SO47136,379,21389,9,1,2
08-Sep-15,05-Apr-02,SO47144,342,26033,9,1,1
20-May-15,05-Apr-02,SO46256,314,15652,10,1,1
17-Jun-15,05-Apr-02,SO46493,328,15023,1,1,1
19-Jun-15,05-Apr-02,SO46514,342,19028,7,1,1
25-Jul-15,05-Apr-02,SO46876,375,15084,8,1,1
27-Jul-15,05-Apr-02,SO46898,369,21205,9,1,2
31-Aug-15,05-Apr-02,SO47338,373,16277,10,1,1
09-Mar-15,06-Apr-02,SO47473,369,21875,9,1,2
09-Aug-15,06-Apr-02,SO47496,371,16470,10,1,2
07-Oct-15,06-Apr-02,SO46754,320,25958,9,1,1
09-Dec-15,06-Apr-02,SO47531,338,15325,1,1,2
28-Jun-15,06-Apr-02,SO46588,351,20035,6,1,2
30-Jun-15,06-Apr-02,SO46599,310,12206,4,1,1
31-Jul-15,06-Apr-02,SO46922,368,13088,1,1,1
17-Aug-15,06-Apr-02,SO47212,360,12580,9,1,2
23-Aug-15,06-Apr-02,SO47264,368,16410,10,1,1
23-Sep-15,06-Apr-02,SO47606,375,15928,8,1,2
25-Sep-15,06-Apr-02,SO47624,371,21949,9,1,1
09-Nov-15,07-Apr-02,SO47521,369,16445,10,1,2
31-Oct-15,07-Apr-02,SO47956,369,16271,8,1,2
22-Aug-15,07-Apr-02,SO47261,362,26305,1,1,2
27-Aug-15,07-Apr-02,SO47308,326,20718,10,1,1
28-Aug-15,07-Apr-02,SO47317,379,14154,7,1,2
30-Aug-15,07-Apr-02,SO47336,338,26027,9,1,1
13-Sep-15,07-Apr-02,SO47539,328,20824,10,1,2
13-Sep-15,07-Apr-02,SO47540,362,26326,4,1,2
19-Sep-15,07-Apr-02,SO47581,375,29152,6,1,2
26-Sep-15,07-Apr-02,SO47629,370,15685,8,1,2
09-Feb-15,08-Apr-02,SO47465,340,15303,4,1,1
09-May-15,08-Apr-02,SO47483,379,14424,7,1,1
11-Aug-15,08-Apr-02,SO48134,371,22202,9,1,1
21-Oct-15,08-Apr-02,SO47882,375,13464,4,1,1
24-Aug-15,08-Apr-02,SO47273,368,13420,4,1,1
12-May-15,09-Apr-02,SO48442,377,13735,1,1,1
11-Jun-15,09-Apr-02,SO48117,377,14930,7,1,2
12-Nov-15,09-Apr-02,SO48514,338,15427,4,1,1
12-Nov-15,09-Apr-02,SO48505,371,15071,7,1,2
16-Nov-15,09-Apr-02,SO48182,360,26600,4,1,1
25-Nov-15,09-Apr-02,SO48241,360,26520,1,1,2
13-Dec-15,09-Apr-02,SO48543,387,24918,9,1,2
14-Dec-15,09-Apr-02,SO48560,326,26561,9,1,1
26-Dec-15,09-Apr-02,SO48680,340,27242,6,1,1
20-Sep-15,09-Apr-02,SO47592,385,24614,9,1,1
11-Jan-15,10-Apr-02,SO48094,370,13657,1,1,2
11-Feb-15,10-Apr-02,SO48099,360,12128,8,1,2
12-Jul-15,10-Apr-02,SO48466,332,15404,4,1,1
11-Aug-15,10-Apr-02,SO48130,368,16829,10,1,1
12-Dec-15,10-Apr-02,SO48527,352,26617,4,1,2
16-Nov-15,10-Apr-02,SO48183,373,22583,9,1,1
28-Dec-15,10-Apr-02,SO48693,370,25995,6,1,2
12-Sep-15,11-Apr-02,SO48489,369,22954,9,1,2
12-Dec-15,11-Apr-02,SO48520,377,16411,8,1,2
25-Nov-15,11-Apr-02,SO48243,371,22411,9,1,1
20-Dec-15,12-Apr-02,SO48618,332,27259,6,1,2
22-Dec-15,12-Apr-02,SO48641,354,13524,9,1,2
28-Dec-15,12-Apr-02,SO48698,362,26647,4,1,1
05-Feb-15,01-May-02,SO46120,313,12023,4,1,1
04-Oct-15,01-May-02,SO45871,326,25919,9,1,1
04-Nov-15,01-May-02,SO45877,351,11910,9,1,1
20-Jan-15,01-May-02,SO45192,314,14846,10,1,1
21-Jan-15,01-May-02,SO45200,311,29148,4,1,2
17-Feb-15,01-May-02,SO45452,314,19559,9,1,2
29-Mar-15,01-May-02,SO45765,350,11245,8,1,2
03-Jan-15,02-May-02,SO45582,312,28656,6,1,1
05-Apr-15,02-May-02,SO46139,347,11977,9,1,2
22-Mar-15,02-May-02,SO45719,350,20000,6,1,2
26-Mar-15,02-May-02,SO45748,332,18046,7,1,1
21-Apr-15,02-May-02,SO45948,342,14879,4,1,2
26-Apr-15,02-May-02,SO45979,311,15630,10,1,1
29-Apr-15,02-May-02,SO46001,310,23806,6,1,1
